id,Difference Between Dates,quantity,demand,short_composition1
47857,10,24,2.0,Cisapride (1mg)
47858,38,33,1.0,Citicoline (250mg)
47893,89,45,1.0,Cefoperazone (1000mg) 
47911,5,19,3.0,Amoxycillin  (200mg/5ml) 
47915,71,52,1.0,Paracetamol (250mg)
47916,71,39,1.0,Methylcobalamin (750mcg) 
47924,66,36,1.0,Amoxycillin  (500mg) 
47935,52,46,1.0,Amoxycillin (500mg) 
47938,84,57,1.0,Caffeine (30mg) 
47988,20,29,2.0,Methylcobalamin (500mcg)
47997,37,34,1.0,Cefoperazone (1000mg) 
48008,40,34,1.0,Ciprofloxacin (500mg) 
48044,54,41,1.0,Cefixime (50mg)
48045,52,30,1.0,Ciprofloxacin (0.3% w/v)
48062,50,44,1.0,Digoxin (500mcg/2ml)
48063,22,19,1.0,Human chorionic gonadotropin (hCG) (10000IU)
48069,39,39,2.0,Ceftriaxone (250mg)
48077,13,14,2.0,Cefixime (200mg) 
48080,55,35,1.0,Cefixime (200mg) 
48108,28,22,1.0,Bromhexine (2mg/5ml) 
48114,90,51,1.0,Glimepiride (1mg) 
48115,91,60,1.0,Benzoyl Peroxide (2.5% w/w)
48126,51,33,1.0,Cefixime (100mg)
48133,29,33,2.0,Cyproheptadine (2mg) 
48145,94,57,1.0,Cefixime (200mg) 
48155,73,56,1.0,Phenylephrine (5mg) 
48159,89,51,1.0,Cilnidipine (20mg)
48175,35,28,1.0,Clonazepam (2mg)
48181,78,43,1.0,Amoxycillin  (200mg) 
48190,37,37,2.0,Permethrin (5% w/w)
48194,52,26,1.0,Levocetirizine (5mg)
48200,71,39,1.0,Metoclopramide (5mg/ml)
48204,25,21,1.0,Cefixime (50mg)
48209,95,51,1.0,Cefixime (100mg)
48212,95,61,1.0,Cefpodoxime Proxetil (100mg)
48233,40,34,1.0,Ofloxacin (50mg) 
48252,61,38,1.0,Ambroxol (15mg) 
48260,67,50,1.0,Diclofenac (50mg) 
48262,88,47,1.0,Clonazepam (0.5mg) 
48266,6,18,2.0,Carvedilol (6.25mg)
48270,21,19,1.0,Cefpodoxime Proxetil (100mg)
48273,51,39,1.0,Cefuroxime (250mg)
48283,76,53,1.0,Losartan (25mg)
48285,23,25,2.0,Clonazepam (0.25mg)
48286,13,18,2.0,Dicyclomine (20mg) 
48290,53,37,1.0,Dicyclomine (10mg) 
48302,21,28,2.0,Cefuroxime (125mg/5ml)
48317,57,43,1.0,Ceftriaxone (250mg) 
48319,22,25,2.0,Domperidone (15mg) 
48328,57,40,1.0,Capecitabine (500mg)
48335,13,17,2.0,Amlodipine (5mg) 
48345,38,32,1.0,Cefpodoxime Proxetil (100mg)
48349,11,17,2.0,Ceftriaxone (500mg)
48385,7,22,3.0,Duloxetine (60mg)
48414,67,36,1.0,Magaldrate (540mg/5ml) 
48433,36,36,2.0,Cefpodoxime Proxetil (200mg)
48471,80,40,1.0,Cefpodoxime Proxetil (200mg)
48475,73,54,1.0,Cefuroxime (500mg)
48507,79,42,1.0,Clopidogrel (75mg)
48508,5,12,2.0,Beclometasone (NA) 
48513,73,52,1.0,Cefadroxil (250mg)
48521,69,52,1.0,Cefixime (50mg)
48525,85,60,1.0,Telmisartan (40mg) 
48526,62,39,1.0,Ceftriaxone (1000mg) 
48530,30,25,1.0,Ciprofloxacin (500mg)
48531,17,21,2.0,Rosuvastatin (5mg)
48536,99,66,1.0,Cefuroxime (250mg)
48546,24,32,2.0,Ceftriaxone (1gm) 
48555,61,45,1.0,Aceclofenac (100mg) 
48562,46,40,1.0,Cilnidipine (5mg)
48570,17,19,2.0,Trihexyphenidyl (5mg)
48575,36,38,2.0,Cilnidipine (10mg)
48576,69,53,1.0,Chlorpheniramine Maleate (0.5mg/5ml) 
48577,45,29,1.0,Olanzapine (20mg)
48600,56,37,1.0,Ciprofloxacin (500mg)
48610,74,43,1.0,Ceftriaxone (1000mg) 
48618,68,42,1.0,Cilnidipine (5mg)
48620,83,51,1.0,Cefixime (50mg) 
48626,7,17,2.0,Cefixime (200mg) 
48627,87,46,1.0,Ciprofloxacin (750mg)
48630,15,25,2.0,Cefixime (200mg)
48632,74,49,1.0,Rifampicin (225mg) 
48641,59,47,1.0,Clonazepam (0.5mg)
48646,90,46,1.0,Ofloxacin (200mg) 
48662,10,20,2.0,Amoxycillin  (1000mg) 
48663,66,53,1.0,Granisetron (1mg)
48683,9,20,2.0,Disodium Hydrogen Citrate (1.4gm/5ml)
48687,75,52,1.0,Cefixime (100mg)
48690,44,27,1.0,Cefpodoxime Proxetil (200mg)
48694,52,41,1.0,Ceftazidime (1000mg) 
48698,43,34,1.0,Cefixime (50mg)
48708,98,66,1.0,Cefuroxime (500mg)
48714,86,50,1.0,Deflazacort (6mg)
48733,79,41,1.0,Sertraline (100mg)
48746,97,54,1.0,Cefadroxil (100mg)
48754,23,21,1.0,Cefalexin (500mg)
48758,50,30,1.0,Aspirin (75mg) 
48801,89,55,1.0,Mometasone (0.1%)
48812,61,50,1.0,Ceftriaxone (1000mg) 
48814,20,16,1.0,Ceftriaxone (250mg) 
48816,36,36,2.0,Cefixime (200mg) 
48821,44,36,1.0,Cefuroxime (500mg)
48827,70,53,1.0,Bromelain (90mg) 
48858,6,20,3.0,Colistin Sulphate (12.5mg/5ml)
48861,24,18,1.0,Cefpodoxime Proxetil (200mg) 
48884,77,39,1.0,Clomiphene (25mg)
48902,56,37,1.0,Cefuroxime (500mg) 
48906,87,45,1.0,Cefixime (200mg) 
48915,95,54,1.0,Nepafenac (0.1% w/v)
48933,37,35,1.0,Cefpodoxime Proxetil (100mg)
48944,71,41,1.0,Cefpodoxime Proxetil (200mg) 
48948,21,17,1.0,Amoxycillin  (500mg) 
48965,51,33,1.0,Cefixime (200mg) 
48966,41,33,1.0,Cetirizine (2.5mg/5ml) 
48976,31,25,1.0,Amoxycillin (500mg) 
48993,78,56,1.0,Ceftriaxone (1000mg)
49004,64,34,1.0,Gemcitabine (1gm)
49005,64,32,1.0,Diltiazem (80mg)
49016,52,35,1.0,Carvedilol (6.25mg)
49053,32,35,2.0,Domperidone (30mg) 
49056,73,46,1.0,Fluconazole (150mg)
49060,61,47,1.0,Cefixime (200mg)
49069,48,27,1.0,Clarithromycin (250mg)
49074,35,21,1.0,Clarithromycin (500mg)
49084,32,36,2.0,Lithium carbonate (400mg)
49088,70,51,1.0,Cefuroxime (500mg) 
49089,57,42,1.0,Cefpodoxime Proxetil (100mg)
49107,48,27,1.0,Ciprofloxacin (750mg)
49111,82,43,1.0,Cefpodoxime Proxetil (200mg)
49147,41,21,1.0,Cefixime (200mg)
49168,82,56,1.0,Cefixime (200mg) 
49170,42,28,1.0,Meropenem (1000mg)
49171,16,22,2.0,Olanzapine (2.5mg)
49188,77,44,1.0,Amoxycillin  (500mg) 
49204,46,38,1.0,Cefpodoxime Proxetil (100mg)
49206,48,25,1.0,Itraconazole (200mg)
49215,76,57,1.0,Ciprofloxacin (500mg)
49252,31,20,1.0,Cefpodoxime Proxetil (100mg)
49259,42,32,1.0,Dicyclomine (20mg) 
49264,89,51,1.0,Cefpodoxime Proxetil (100mg)
49297,95,51,1.0,Ciprofloxacin (500mg) 
49299,88,62,1.0,Levocetirizine (5mg)
49315,38,32,1.0,Disulfiram (500mg)
49327,54,32,1.0,Propofol (NA)
49361,66,53,1.0,Ciprofloxacin (500mg) 
49376,61,41,1.0,Cefoperazone (250mg) 
49379,56,37,1.0,Azithromycin (250mg)
49386,53,38,1.0,Cefixime (200mg) 
49427,46,29,1.0,Nebivolol (5mg) 
49445,86,63,1.0,Cefotaxime (125mg)
49449,15,14,1.0,Ceftriaxone (1gm) 
49451,99,57,1.0,Ciprofloxacin (500mg)
49469,49,41,1.0,Ceftriaxone (250mg)
49491,74,55,1.0,Triamcinolone (10mg)
49496,40,22,1.0,Cefixime (200mg) 
49507,52,41,1.0,Amoxycillin  (500mg) 
49510,58,49,1.0,Amoxycillin  (500mg) 
49517,75,38,1.0,Levosulpiride (75mg) 
49518,97,65,1.0,Cefixime (200mg) 
49575,93,47,1.0,Aceclofenac (100mg) 
49582,96,51,1.0,Ceftriaxone (1000mg) 
49595,7,19,2.0,Ceftriaxone (250mg) 
49600,45,25,1.0,Clobetasol (0.05% w/v) 
49617,31,30,1.0,Atorvastatin (10mg) 
49621,66,37,1.0,Ofloxacin (200mg) 
49623,88,57,1.0,Cefpodoxime Proxetil (50mg) 
49637,72,42,1.0,Tranexamic Acid (500mg) 
49641,31,33,2.0,Caffeine (25mg) 
49653,74,49,1.0,Phenylephrine (5mg/5ml) 
49657,62,35,1.0,Cefuroxime (500mg) 
49658,94,60,1.0,Diclofenac (50mg) 
49661,28,34,2.0,Azithromycin (500mg)
49671,64,45,1.0,Clopidogrel (75mg)
49704,30,32,2.0,Isoniazid (150mg) 
49711,26,24,1.0,Rabeprazole (20mg)
49724,53,35,1.0,Cefepime (500mg)
49729,69,46,1.0,Cilnidipine (10mg) 
49739,46,43,1.0,Carboplatin (150mg)
49760,23,23,2.0,Cefpodoxime Proxetil (200mg)
49768,77,46,1.0,Febuxostat (40mg)
49770,55,37,1.0,Citicoline (500mg) 
49778,51,45,1.0,Cefpodoxime Proxetil (200mg)
49780,35,34,1.0,Cefuroxime (1500mg)
49827,30,27,1.0,Trypsin Chymotrypsin (100000AU)
49829,41,28,1.0,Amoxycillin  (500mg) 
49839,66,42,1.0,Chlorthalidone (6.25mg)
49843,44,28,1.0,Cefpodoxime Proxetil (100mg)
49854,56,34,1.0,Ciprofloxacin (500mg)
49862,91,46,1.0,Amisulpride (100mg)
49898,50,27,1.0,Amoxycillin  (500mg) 
49899,74,46,1.0,Cefixime (200mg) 
49909,29,31,2.0,Cefpodoxime Proxetil (200mg) 
49912,79,41,1.0,Ceftriaxone (250mg)
49966,76,42,1.0,Ciclosporin (50mg)
49973,49,42,1.0,Cefixime (200mg)
49977,49,41,1.0,Domperidone (15mg) 
49981,26,32,2.0,Chlorpheniramine Maleate (1mg) 
49984,20,17,1.0,Clopidogrel (75mg)
49985,46,27,1.0,Cefixime (100mg)
49995,64,40,1.0,Domperidone (15mg) 
50011,63,51,1.0,Azithromycin (100mg)
50015,33,25,1.0,Paracetamol (500mg) 
50024,85,56,1.0,Ceftriaxone (1000mg) 
50025,78,41,1.0,Methylcobalamin (1000mcg) 
50036,56,34,1.0,Ambroxol (15mg/5ml) 
50037,22,28,2.0,Cefixime (200mg) 
50038,48,24,1.0,Clonazepam (1mg)
50052,16,16,2.0,Cefixime (200mg) 
50057,41,25,1.0,Ambroxol (15mg/5ml) 
50067,28,28,2.0,Deflazacort (30mg)
50073,72,45,1.0,Ciprofloxacin (500mg)
50080,69,51,1.0,Cefuroxime (500mg)
50099,48,31,1.0,Ciprofloxacin (500mg)
50105,60,44,1.0,Diclofenac (50mg) 
50113,14,15,2.0,Ceftriaxone (250mg) 
50120,51,45,1.0,Nimesulide (100mg) 
50123,63,44,1.0,Cefixime (200mg) 
50140,37,35,1.0,Phenylephrine (5mg) 
50144,17,21,2.0,Clotrimazole (1% w/w)
50145,32,22,1.0,Caffeine (30mg) 
50153,38,32,1.0,Ofloxacin (200mg) 
50157,91,50,1.0,Cefixime (100mg)
50193,67,52,1.0,Ambroxol (30mg) 
50194,70,53,1.0,Cefpodoxime Proxetil (200mg) 
50228,32,33,2.0,Caffeine (30mg) 
50266,19,22,2.0,Deflazacort (6mg)
50288,95,60,1.0,Losartan (50mg) 
50295,88,47,1.0,Ceftriaxone (250mg)
50321,82,59,1.0,Cefuroxime (1500mg)
50323,32,20,1.0,Levetiracetam (250mg)
50328,58,47,1.0,Cefixime (200mg) 
50340,39,28,1.0,Aceclofenac (100mg) 
50343,32,31,1.0,Cefixime (200mg) 
50361,96,49,1.0,Carbamazepine (200mg)
50370,48,26,1.0,Cyproheptadine (2mg)
50381,13,23,2.0,Cetirizine (10mg)
50417,30,24,1.0,Ambroxol (15mg/5ml) 
50420,80,41,1.0,Levocetirizine (5mg)
50432,79,44,1.0,Cefixime (50mg)
50438,29,26,1.0,Deflazacort (6mg)
50462,55,40,1.0,Levosulpiride (75mg) 
50465,65,34,1.0,Ciprofloxacin (250mg)
50474,29,25,1.0,Telmisartan (40mg)
50480,95,54,1.0,Cefixime (50mg)
50483,70,49,1.0,Clobetasol (0.05% w/w) 
50489,28,27,1.0,Artesunate (60mg)
50496,43,26,1.0,Betamethasone (NA)
50521,43,27,1.0,Methylcobalamin (2500mcg)
50531,72,38,1.0,Ciprofloxacin (500mg)
50537,27,31,2.0,Ceftriaxone (500mg) 
50545,14,26,2.0,Pantoprazole (40mg)
50555,87,53,1.0,Ciprofloxacin (250mg) 
50564,76,41,1.0,Cefixime (200mg) 
50571,59,38,1.0,Cefixime (200mg)
50579,72,52,1.0,Etoricoxib (90mg)
50587,12,22,2.0,Ceftriaxone (1000mg) 
50588,29,22,1.0,Amoxycillin  (500mg) 
50602,75,46,1.0,Cilnidipine (5mg)
50617,7,22,3.0,Cetirizine (10mg)
50620,36,21,1.0,Chlorpromazine (100mg)
50634,45,32,1.0,Clobazam (10mg)
50636,34,20,1.0,Cefoperazone (1000mg) 
50640,69,40,1.0,Erythromycin (500mg)
50648,85,56,1.0,Cefpodoxime Proxetil (100mg)
50655,48,29,1.0,Amoxycillin (500mg) 
50668,55,35,1.0,Amoxycillin  (200mg) 
50670,90,58,1.0,Cefuroxime (500mg) 
50680,80,48,1.0,Cefixime (200mg) 
50695,78,58,1.0,Cefpodoxime Proxetil (200mg) 
50704,93,56,1.0,Cefixime (50mg/5ml)
50708,79,56,1.0,Carbamazepine (100mg)
50710,51,36,1.0,Domperidone (15mg) 
50717,37,23,1.0,Aceclofenac (50mg) 
50720,72,50,1.0,Aceclofenac (100mg) 
50728,61,50,1.0,Colistin Sulphate (25mg)
50787,82,46,1.0,Clomiphene (100mg)
50815,89,54,1.0,Cefpodoxime Proxetil (100mg/5ml)
50817,57,47,1.0,Aceclofenac (100mg) 
50819,79,55,1.0,Nandrolone Decanoate (50mg)
50824,15,23,2.0,Cefixime (200mg)
50835,91,50,1.0,Etizolam (0.5mg) 
50836,6,23,3.0,Etoricoxib (60mg) 
50850,90,47,1.0,Diclofenac diethylamine (1.16% w/w) 
50884,28,19,1.0,Ceftriaxone (1000mg) 
50886,24,26,2.0,Ofloxacin (200mg)
50895,26,29,2.0,Cyclophosphamide (200mg)
50901,26,27,2.0,Clomiphene (50mg)
50905,53,34,1.0,Cefepime (1000mg)
50909,38,22,1.0,Ceftriaxone (1000mg)
50912,6,23,3.0,Albendazole (400mg)
50916,75,42,1.0,Etoricoxib (120mg)
50923,87,63,1.0,Ceftriaxone (1000mg)
50967,99,66,1.0,Cetirizine (5mg) 
50985,92,63,1.0,Cefixime (400mg)
50990,68,51,1.0,Nandrolone Decanoate (50mg)
50998,57,43,1.0,Domperidone (30mg) 
51013,8,19,2.0,Meropenem (1000mg)
51021,47,41,1.0,Aceclofenac (100mg) 
51037,20,26,2.0,Cefixime (100mg) 
51041,87,59,1.0,Cisapride (10mg)
51069,53,28,1.0,Carbamazepine (400mg)
51073,79,40,1.0,Cefoperazone (500mg) 
51083,71,50,1.0,Aceclofenac (100mg) 
51095,16,25,2.0,Azithromycin (250mg)
51107,26,26,2.0,Doxycycline (100mg)
51114,69,44,1.0,Trypsin (48mg) 
51135,23,18,1.0,Domperidone (15mg) 
51137,75,51,1.0,Ceftriaxone (1000mg)
51143,63,38,1.0,Etoricoxib (60mg) 
51149,94,62,1.0,Cefixime (100mg)
51154,79,40,1.0,Cerebroprotein Hydrolysate (60mg)
51164,17,28,2.0,Cefixime (200mg) 
51184,31,23,1.0,Fluoxetine (20mg)
51217,11,14,2.0,Cefpodoxime Proxetil (50mg)
51220,83,42,1.0,Atorvastatin (10mg)
51223,41,35,1.0,Amoxycillin (400mg) 
51243,82,44,1.0,Ciprofloxacin (500mg)
51248,25,28,2.0,Ceftriaxone (250mg)
51253,85,44,1.0,Cefixime (200mg) 
51260,73,40,1.0,Imipenem (500mg) 
51276,5,21,3.0,Caffeine (30mg) 
51293,88,60,1.0,Simethicone (1000mg)
51304,15,21,2.0,Ofloxacin (0.75% w/w) 
51306,76,53,1.0,Montelukast (10mg) 
51341,42,34,1.0,Ceftriaxone (500mg)
51344,93,66,1.0,Amoxycillin (NA) 
51354,66,42,1.0,Cilnidipine (5mg)
51362,36,24,1.0,Cefuroxime (125mg)
51381,22,28,2.0,Gemcitabine (1400mg)
51382,50,35,1.0,Ceftazidime (250mg)
51387,33,30,1.0,Cefixime (100mg)
51389,85,61,1.0,Cetirizine (10mg)
51399,99,58,1.0,Cefpodoxime Proxetil (200mg) 
51409,61,34,1.0,Caffeine (30mg) 
51410,74,51,1.0,Cefalexin (500mg)
51422,70,35,1.0,Etoricoxib (120mg)
51437,20,29,2.0,Cefixime (200mg) 
51451,56,34,1.0,Clonazepam (0.25mg)
51457,45,27,1.0,Cefixime (50mg)
51461,24,24,2.0,Ciprofloxacin (0.3% w/v)
51466,56,47,1.0,Cefoperazone (125mg) 
51485,55,45,1.0,Cefotaxime (250mg)
51491,49,29,1.0,Cefixime (200mg) 
51498,86,60,1.0,Etoricoxib (60mg) 
51520,26,22,1.0,Paracetamol (650mg) 
51525,93,58,1.0,Ciprofloxacin (2mg)
51530,48,43,1.0,Clopidogrel (75mg)
51533,80,44,1.0,Montelukast (4mg)
51539,78,49,1.0,Cilnidipine (20mg)
51542,18,24,2.0,Cefpodoxime Proxetil (100mg)
51551,66,49,1.0,Ampicillin (250mg) 
51552,54,30,1.0,Ciprofloxacin (500mg)
51558,97,64,1.0,Clonazepam (2mg)
51571,88,53,1.0,Sodium Valproate (300mg)
51590,74,43,1.0,Phenylephrine (5mcg) 
51596,85,60,1.0,Cefoperazone (1000mg) 
51598,64,48,1.0,Cefixime (200mg) 
51624,20,21,2.0,Aceclofenac (100mg) 
51632,70,42,1.0,Caffeine (30mg) 
51635,60,34,1.0,Amoxycillin  (400mg/5ml) 
51636,82,45,1.0,Nortriptyline (25mg)
51662,47,29,1.0,Cefoperazone (1000mg) 
51663,93,62,1.0,Ceftriaxone (250mg) 
51679,47,31,1.0,Rofecoxib (25mg)
51692,66,51,1.0,Ceftriaxone (250mg) 
51695,81,44,1.0,Cefixime (50mg) 
51699,66,33,1.0,Cefixime (200mg) 
51703,7,22,3.0,Cefixime (50mg)
51721,5,20,3.0,Cefoperazone (1gm) 
51733,64,39,1.0,Cefdinir (300mg)
51743,91,50,1.0,Terbinafine (1% w/w)
51744,91,58,1.0,Cefixime (200mg) 
51747,73,41,1.0,Cefalexin (250mg) 
51748,19,27,2.0,Cefuroxime (500mg)
51757,14,17,2.0,Itraconazole (200mg)
51766,84,59,1.0,Ofloxacin (200mg) 
51774,32,21,1.0,Vitamin D3 (600000IU)
51778,56,36,1.0,Cyproheptadine (2mg) 
51781,80,53,1.0,Cefepime (250mg)
51792,57,33,1.0,Cefixime (100mg)
51800,70,36,1.0,Cefixime (200mg)
51822,26,32,2.0,Phenylephrine (5mg/5ml) 
51825,74,48,1.0,Methylcobalamin (1000mcg) 
51836,73,37,1.0,Ciprofloxacin (500mg)
51840,24,31,2.0,Cefpodoxime Proxetil (200mg) 
51867,33,34,2.0,Ciprofloxacin (250mg)
51879,49,37,1.0,Ciprofloxacin (500mg) 
51919,86,60,1.0,Chlordiazepoxide (10mg) 
51920,49,41,1.0,Norethisterone (5mg)
51932,60,42,1.0,Domperidone (10mg) 
51936,74,56,1.0,Ciprofloxacin (500mg)
51937,34,19,1.0,Ceftriaxone (500mg)
51960,46,42,1.0,Cefixime (200mg) 
51979,49,41,1.0,Ambroxol (15mg) 
51984,6,18,2.0,Ciprofloxacin (250mg)
51989,90,54,1.0,Cefixime (200mg) 
52002,27,32,2.0,Cefuroxime (500mg)
52004,63,32,1.0,Cefixime (200mg) 
52025,76,38,1.0,Spironolactone (100mg)
52029,88,52,1.0,Cefixime (200mg) 
52035,79,59,1.0,Ofloxacin (50mg) 
52043,53,44,1.0,Cefixime (50mg/5ml)
52048,50,33,1.0,Cefpodoxime Proxetil (200mg) 
52059,94,48,1.0,Carvedilol (12.5mg)
52061,61,32,1.0,Diltiazem (120mg)
52064,41,24,1.0,Cefpodoxime Proxetil (100mg/5ml)
52065,26,25,1.0,Ampicillin (125mg) 
52087,50,27,1.0,Caffeine (25mg) 
52097,16,17,2.0,Rifampicin (150mg) 
52109,71,40,1.0,Cefuroxime (500mg)
52112,30,35,2.0,Amoxycillin  (500mg) 
52127,19,27,2.0,Cefpodoxime Proxetil (100mg)
52135,89,61,1.0,Metformin (1000mg)
52140,43,38,1.0,Phenytoin (100mg)
52148,33,34,2.0,Ceftriaxone (500mg) 
52161,10,15,2.0,Carbamazepine (200mg)
52166,82,45,1.0,Cefixime (200mg) 
52170,41,24,1.0,Clobazam (5mg)
52187,18,22,2.0,Amoxycillin  (500mg) 
52188,52,38,1.0,Cefixime (50mg)
52201,59,49,1.0,Phenylephrine (5mg/5ml) 
52211,97,67,1.0,Cefpodoxime Proxetil (100mg)
52217,54,47,1.0,Ceftriaxone (1000mg) 
52229,88,51,1.0,Chlorpromazine (100mg) 
52253,69,45,1.0,Clopidogrel (75mg)
52279,17,24,2.0,Clobazam (5mg)
52281,7,23,3.0,Itraconazole (200mg)
52282,89,48,1.0,Cefalexin (250mg)
52284,80,45,1.0,Ciprofloxacin (500mg)
52313,77,58,1.0,Cefpodoxime Proxetil (200mg)
52319,72,48,1.0,Ceftriaxone (1000mg)
52327,50,43,1.0,Clindamycin (600mg)
52356,88,62,1.0,Ambroxol (15mg/5ml) 
52360,97,49,1.0,Methylcobalamin (2500mcg)
52392,48,35,1.0,Doripenem (500mg)
52395,66,46,1.0,Cefpodoxime Proxetil (50mg)
52399,22,23,2.0,Ceftriaxone (500mg)
52428,24,30,2.0,Cefoperazone (1000mg)
52472,88,59,1.0,Cefpodoxime Proxetil (200mg) 
52478,23,21,1.0,Cefoperazone (1000mg) 
52481,15,19,2.0,Clobetasol (0.05% w/w) 
52519,5,13,2.0,Cefpodoxime Proxetil (200mg)
52525,67,43,1.0,Bromhexine (2mg/5ml) 
52528,25,31,2.0,Metformin (1000mg)
52557,92,57,1.0,Ramipril (2.5mg)
52578,37,25,1.0,Diclofenac (50mg) 
52579,64,44,1.0,Clindamycin (600mg)
52583,61,38,1.0,Epirubicin (10mg)
52589,64,38,1.0,Cetirizine (NA)
52591,22,24,2.0,Cefoperazone (1000mg) 
52605,71,52,1.0,Ciprofloxacin (750mg)
52610,95,60,1.0,Levocetirizine (5mg)
52615,43,29,1.0,Cefuroxime (250mg) 
52624,61,34,1.0,Ambroxol (60mg) 
52627,24,25,2.0,Ciprofloxacin (500mg) 
52629,48,25,1.0,Ceftriaxone (1000mg) 
52631,96,57,1.0,Aspirin (75mg) 
52635,35,20,1.0,Cefepime (1000mg)
52640,50,41,1.0,Amoxycillin (250mg) 
52644,59,32,1.0,Salbutamol (2mg) 
52683,61,33,1.0,Cefixime (50mg/5ml)
52694,88,51,1.0,Aceclofenac (100mg) 
52697,69,45,1.0,Cefixime (200mg)
52708,80,45,1.0,Ceftriaxone (1000mg)
52709,68,52,1.0,Cefpodoxime Proxetil (100mg)
52714,39,20,1.0,Cefpodoxime Proxetil (200mg) 
52718,29,22,1.0,Cefoperazone (1000mg) 
52724,87,55,1.0,Clonazepam (0.5mg) 
52736,88,53,1.0,Amoxycillin (500mg) 
52741,77,50,1.0,Ceftriaxone (500mg)
52755,50,31,1.0,Ambroxol (15mg/5ml) 
52757,61,32,1.0,Etoricoxib (90mg)
52797,93,57,1.0,Amoxycillin  (200mg) 
52805,62,33,1.0,Cefpodoxime Proxetil (50mg/5ml)
52813,18,20,2.0,Chloramphenicol (0.5% w/v) 
52815,54,45,1.0,Cefpodoxime Proxetil (200mg)
52835,74,37,1.0,Cefpodoxime Proxetil (200mg)
52855,73,51,1.0,Ambroxol (15mg/5ml) 
52864,18,27,2.0,Ceftriaxone (500mg)
52884,8,24,2.0,Amoxycillin (500mg) 
52887,80,56,1.0,Cefixime (200mg) 
52910,57,44,1.0,Cefixime (100mg)
52918,35,28,1.0,Ceftriaxone (250mg)
52919,29,30,2.0,Febuxostat (40mg)
52922,59,41,1.0,Cefpodoxime Proxetil (200mg)
52930,27,24,1.0,Cefpodoxime Proxetil (100mg)
52932,5,21,3.0,Tobramycin (0.3% w/v)
52952,69,41,1.0,Ceftriaxone (1000mg) 
52956,33,29,1.0,Citalopram (20mg)
52958,90,64,1.0,Cefadroxil (NA)
52959,14,17,2.0,Isoniazid (NA) 
52960,14,15,2.0,Aceclofenac (100mg) 
52962,27,24,1.0,Cefuroxime (125mg)
52983,64,32,1.0,Pyrazinamide (750mg)
53020,9,20,2.0,Cefpodoxime Proxetil (200mg)
53032,37,28,1.0,Methylcobalamin (1000mcg) 
53043,84,42,1.0,Cefpodoxime Proxetil (100mg)
53044,28,26,1.0,Domperidone (10mg) 
53076,76,51,1.0,Iron Sucrose (50mg)
53079,45,31,1.0,Rofecoxib (50mg)
53080,34,19,1.0,Ceftriaxone (1000mg) 
53082,84,55,1.0,Cefixime (200mg) 
53093,93,57,1.0,Phenylephrine (5mg/5ml) 
53094,55,41,1.0,Cefpodoxime Proxetil (200mg) 
53098,38,39,2.0,Atorvastatin (20mg)
53104,20,26,2.0,Carvedilol (12.5mg)
53138,86,57,1.0,Amoxycillin  (250mg) 
53175,78,54,1.0,Chlorhexidine Gluconate (2% w/v)
53182,64,37,1.0,Deflazacort (6mg)
53185,61,39,1.0,Cetirizine (5mg)
53196,82,42,1.0,Amoxycillin (250mg) 
53202,60,36,1.0,Cefixime (200mg) 
53205,50,29,1.0,Colistimethate Sodium (2Million IU)
53209,96,53,1.0,Ciprofloxacin (500mg)
53214,65,50,1.0,Cefpodoxime Proxetil (100mg)
53231,19,27,2.0,Artesunate (120mg)
53237,82,61,1.0,Hydrochlorothiazide (12.5mg) 
53248,26,22,1.0,Cefuroxime (750mg)
53257,42,38,1.0,Ciprofloxacin (500mg) 
53282,19,26,2.0,Cefoperazone (500mg) 
53283,81,57,1.0,Cefalexin (250mg)
53284,33,35,2.0,Ceftriaxone (500mg)
53306,72,52,1.0,Paracetamol (650mg)
53318,48,26,1.0,Ceftriaxone (1000mg) 
53322,20,26,2.0,Citicoline (500mg) 
53329,91,56,1.0,Itraconazole (200mg)
53336,15,19,2.0,Cefpodoxime Proxetil (200mg)
53346,74,45,1.0,Cefixime (200mg) 
53347,26,19,1.0,Cefixime (200mg)
53360,90,63,1.0,Clozapine (100mg)
53377,71,52,1.0,Cefixime (50mg)
53396,35,37,2.0,Ciprofloxacin (200mg)
53419,97,67,1.0,Cefoperazone (1000mg)
53431,22,30,2.0,Clobetasol (0.05% w/w) 
53434,84,55,1.0,Cefixime (100mg)
53440,10,21,2.0,Cefixime (200mg) 
53443,75,40,1.0,Cefpodoxime Proxetil (200mg)
53517,28,30,2.0,Cefixime (200mg) 
53524,32,25,1.0,Ceftriaxone (1000mg) 
53532,76,50,1.0,Ceftriaxone (1000mg) 
53539,96,51,1.0,Ciprofloxacin (500mg)
53544,79,51,1.0,Cefpodoxime Proxetil (50mg) 
53548,8,12,2.0,Phenylephrine (5mg) 
53553,61,50,1.0,Cefpodoxime Proxetil (50mg)
53567,29,18,1.0,Clonazepam (1mg)
53576,99,57,1.0,Epirubicin (50mg)
53591,64,35,1.0,Ceftriaxone (1000mg) 
53598,91,65,1.0,Cetirizine (NA)
53605,36,23,1.0,Deflazacort (12mg)
53610,73,43,1.0,Cetirizine (5mg) 
53616,70,46,1.0,Escitalopram Oxalate (20mg)
53638,56,28,1.0,Levocetirizine (2.5mg) 
53654,56,29,1.0,Chlorpheniramine Maleate (1mg) 
53690,91,46,1.0,Enoxaparin (60mg)
